Chemical,CAS #/Comp ID,Clean Air Act Chemical,Classification,Metal,Metal Category,Carcinogen,Form Type,Unit of Measure,Risk Factor
"HYDROCHLORIC ACID (1995 AND AFTER ""ACID AEROSOLS"" ONLY)",7647010,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
FORMIC ACID,64186,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
ETHYLBENZENE,100414,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
DICHLOROMETHANE,75092,YES,NON-PBT,NO,0,YES,R,Pounds,Unknown
BENZO(G.H.I)PERYLENE,191242,YES,PBT,NO,0,YES,R,Pounds,Unknown
XYLENE (MIXED ISOMERS),1330207,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
TERT-BUTYL ALCOHOL,75650,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
NAPHTHALENE,91203,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
MALEIC ANHYDRIDE,108316,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
ETHYLBENZENE,100414,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
BUTYL ACRYLATE,141322,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
ETHYLENE GLYCOL,107211,YES,NON-PBT,NO,0,NO,A,Pounds,Unknown
CERTAIN GLYCOL ETHERS,N230,YES,NON-PBT,NO,0,NO,A,Pounds,Unknown
BUTYL ACRYLATE,141322,NO,NON-PBT,NO,0,NO,A,Pounds,Unknown
VINYL ACETATE,108054,YES,NON-PBT,NO,0,YES,A,Pounds,Unknown
STYRENE,100425,YES,NON-PBT,NO,0,YES,A,Pounds,Unknown
METHYL METHACRYLATE,80626,YES,NON-PBT,NO,0,NO,A,Pounds,Unknown
BENZO(G.H.I)PERYLENE,191242,YES,PBT,NO,0,YES,R,Pounds,Unknown
POLYCYCLIC AROMATIC COMPOUNDS,N590,YES,PBT,NO,0,YES,R,Pounds,Unknown
CERTAIN GLYCOL ETHERS,N230,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
N-BUTYL ALCOHOL,71363,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
PROPYLENE OXIDE,75569,YES,NON-PBT,NO,0,YES,R,Pounds,Unknown
ETHYLENE GLYCOL,107211,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
ETHYLENE OXIDE,75218,YES,NON-PBT,NO,0,YES,R,Pounds,Unknown
VINYL CHLORIDE,75014,YES,NON-PBT,NO,0,YES,R,Pounds,Unknown
N-BUTYL ALCOHOL,71363,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
VANADIUM COMPOUNDS,N770,NO,NON-PBT,YES,1,NO,R,Pounds,Unknown
TOLUENE,108883,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
TITANIUM TETRACHLORIDE,7550450,YES,NON-PBT,YES,2,NO,R,Pounds,Unknown
N-HEXANE,110543,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
TITANIUM TETRACHLORIDE,7550450,YES,NON-PBT,YES,2,NO,R,Pounds,Unknown
NAPHTHALENE,91203,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
N-HEXANE,110543,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
"HYDROCHLORIC ACID (1995 AND AFTER ""ACID AEROSOLS"" ONLY)",7647010,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
CHLOROETHANE,75003,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
DIISOCYANATES,N120,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
LEAD COMPOUNDS,N420,YES,PBT,YES,1,NO,R,Pounds,Unknown
POLYCYCLIC AROMATIC COMPOUNDS,N590,YES,PBT,NO,0,YES,R,Pounds,Unknown
MERCURY COMPOUNDS,N458,YES,PBT,YES,1,NO,R,Pounds,Unknown
CHLORINE DIOXIDE,10049044,NO,NON-PBT,NO,0,NO,A,Pounds,Unknown
AMMONIA,7664417,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
SODIUM NITRITE,7632000,NO,NON-PBT,YES,2,NO,A,Pounds,Unknown
CRESOL (MIXED ISOMERS),1319773,YES,NON-PBT,NO,0,NO,A,Pounds,Unknown
CHLOROPHENOLS,N084,NO,NON-PBT,NO,0,YES,A,Pounds,Unknown
CERTAIN GLYCOL ETHERS,N230,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
NITRATE COMPOUNDS,N511,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
ZINC COMPOUNDS,N982,NO,NON-PBT,YES,1,NO,A,Pounds,Unknown
AMMONIA,7664417,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
NITRIC ACID,7697372,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
NITRIC ACID,7697372,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
NITRATE COMPOUNDS,N511,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
TOLUENE,108883,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
DIBUTYL PHTHALATE,84742,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
LEAD COMPOUNDS,N420,YES,PBT,YES,1,NO,R,Pounds,Unknown
LEAD,7439921,YES,PBT,YES,1,YES,R,Pounds,Unknown
LEAD,7439921,YES,PBT,YES,1,YES,R,Pounds,Unknown
TRICHLOROETHYLENE,79016,YES,NON-PBT,NO,0,YES,R,Pounds,Unknown
N.N-DIMETHYLFORMAMIDE,68122,YES,NON-PBT,NO,0,YES,R,Pounds,Unknown
ZINC COMPOUNDS,N982,NO,NON-PBT,YES,1,NO,R,Pounds,Unknown
TOLUENE DIISOCYANATE (MIXED ISOMERS),26471625,NO,NON-PBT,NO,0,YES,R,Pounds,Unknown
LEAD,7439921,YES,PBT,YES,1,YES,R,Pounds,Unknown
AMMONIA,7664417,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
NICKEL,7440020,YES,NON-PBT,YES,1,YES,R,Pounds,Unknown
MANGANESE,7439965,YES,NON-PBT,YES,1,NO,R,Pounds,Unknown
COPPER,7440508,NO,NON-PBT,YES,1,NO,R,Pounds,Unknown
CHROMIUM,7440473,YES,NON-PBT,YES,1,YES,R,Pounds,Unknown
STYRENE,100425,YES,NON-PBT,NO,0,YES,R,Pounds,Unknown
LEAD,7439921,YES,PBT,YES,1,YES,R,Pounds,Unknown
COPPER,7440508,NO,NON-PBT,YES,1,NO,R,Pounds,Unknown
ETHYLENE GLYCOL,107211,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
STYRENE,100425,YES,NON-PBT,NO,0,YES,R,Pounds,Unknown
TOLUENE,108883,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
METHYL ISOBUTYL KETONE,108101,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
LEAD COMPOUNDS,N420,YES,PBT,YES,1,NO,R,Pounds,Unknown
ZINC COMPOUNDS,N982,NO,NON-PBT,YES,1,NO,A,Pounds,Unknown
LEAD COMPOUNDS,N420,YES,PBT,YES,1,NO,R,Pounds,Unknown
DI(2-ETHYLHEXYL) PHTHALATE,117817,YES,NON-PBT,NO,0,YES,R,Pounds,Unknown
ANTIMONY COMPOUNDS,N010,YES,NON-PBT,YES,1,NO,A,Pounds,Unknown
ETHYLENE GLYCOL,107211,YES,NON-PBT,NO,0,NO,A,Pounds,Unknown
LEAD COMPOUNDS,N420,YES,PBT,YES,1,NO,R,Pounds,Unknown
NITRIC ACID,7697372,NO,NON-PBT,NO,0,NO,A,Pounds,Unknown
CYANIDE COMPOUNDS,N106,YES,NON-PBT,NO,0,NO,A,Pounds,Unknown
XYLENE (MIXED ISOMERS),1330207,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
TOLUENE,108883,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
POLYCYCLIC AROMATIC COMPOUNDS,N590,YES,PBT,NO,0,YES,R,Pounds,Unknown
NAPHTHALENE,91203,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
N-HEXANE,110543,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
LEAD COMPOUNDS,N420,YES,PBT,YES,1,NO,R,Pounds,Unknown
ETHYLBENZENE,100414,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
CYCLOHEXANE,110827,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
BENZO(G.H.I)PERYLENE,191242,YES,PBT,NO,0,YES,R,Pounds,Unknown
BENZENE,71432,YES,NON-PBT,NO,0,YES,R,Pounds,Unknown
1.2.4-TRIMETHYLBENZENE,95636,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
PROPARGYL ALCOHOL,107197,NO,NON-PBT,NO,0,NO,A,Pounds,Unknown
1.2.4-TRIMETHYLBENZENE,95636,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
3-IODO-2-PROPYNYL BUTYLCARBAMATE,55406536,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
METHANOL,67561,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
MALEIC ANHYDRIDE,108316,YES,NON-PBT,NO,0,NO,A,Pounds,Unknown
BIS(TRIBUTYLTIN) OXIDE,56359,NO,NON-PBT,YES,2,NO,A,Pounds,Unknown
NAPHTHALENE,91203,YES,NON-PBT,NO,0,NO,A,Pounds,Unknown
ETHYLBENZENE,100414,YES,NON-PBT,NO,0,NO,A,Pounds,Unknown
AMMONIA,7664417,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
NITRIC ACID,7697372,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
NITRATE COMPOUNDS,N511,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
AMMONIA,7664417,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
CERTAIN GLYCOL ETHERS,N230,YES,NON-PBT,NO,0,NO,A,Pounds,Unknown
ACETALDEHYDE,75070,YES,NON-PBT,NO,0,YES,A,Pounds,Unknown
MERCURY COMPOUNDS,N458,YES,PBT,YES,1,NO,R,Pounds,Unknown
LEAD COMPOUNDS,N420,YES,PBT,YES,1,NO,R,Pounds,Unknown
FORMIC ACID,64186,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
N-HEXANE,110543,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
DICHLOROMETHANE,75092,YES,NON-PBT,NO,0,YES,R,Pounds,Unknown
ACETONITRILE,75058,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
TRICHLOROFLUOROMETHANE,75694,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
DICHLORODIFLUOROMETHANE,75718,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
TOLUENE,108883,YES,NON-PBT,NO,0,NO,A,Pounds,Unknown
POLYCYCLIC AROMATIC COMPOUNDS,N590,YES,PBT,NO,0,YES,R,Pounds,Unknown
NAPHTHALENE,91203,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
N-HEXANE,110543,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
LEAD COMPOUNDS,N420,YES,PBT,YES,1,NO,R,Pounds,Unknown
ETHYLBENZENE,100414,YES,NON-PBT,NO,0,NO,A,Pounds,Unknown
BENZO(G.H.I)PERYLENE,191242,YES,PBT,NO,0,YES,R,Pounds,Unknown
1.2.4-TRIMETHYLBENZENE,95636,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
CHROMIUM,7440473,YES,NON-PBT,YES,1,YES,R,Pounds,Unknown
ZINC COMPOUNDS,N982,NO,NON-PBT,YES,1,NO,R,Pounds,Unknown
VANADIUM COMPOUNDS,N770,NO,NON-PBT,YES,1,NO,R,Pounds,Unknown
"SULFURIC ACID (1994 AND AFTER ""ACID AEROSOLS"" ONLY)",7664939,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
POLYCYCLIC AROMATIC COMPOUNDS,N590,YES,PBT,NO,0,YES,R,Pounds,Unknown
PENTACHLOROBENZENE,608935,NO,PBT,NO,0,YES,R,Pounds,Unknown
NICKEL COMPOUNDS,N495,YES,NON-PBT,YES,1,NO,R,Pounds,Unknown
MERCURY COMPOUNDS,N458,YES,PBT,YES,1,NO,R,Pounds,Unknown
MANGANESE COMPOUNDS,N450,YES,NON-PBT,YES,1,NO,R,Pounds,Unknown
LEAD COMPOUNDS,N420,YES,PBT,YES,1,NO,R,Pounds,Unknown
HYDROGEN FLUORIDE,7664393,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
"HYDROCHLORIC ACID (1995 AND AFTER ""ACID AEROSOLS"" ONLY)",7647010,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
DIOXIN AND DIOXIN-LIKE COMPOUNDS,N150,YES,DIOXIN,NO,0,NO,R,Grams,Unknown
COPPER COMPOUNDS,N100,NO,NON-PBT,YES,1,NO,R,Pounds,Unknown
CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION),N090,YES,NON-PBT,YES,1,NO,R,Pounds,Unknown
BENZO(G.H.I)PERYLENE,191242,YES,PBT,NO,0,YES,R,Pounds,Unknown
BARIUM COMPOUNDS,N040,NO,NON-PBT,YES,3,NO,R,Pounds,Unknown
ARSENIC COMPOUNDS,N020,YES,NON-PBT,YES,1,NO,R,Pounds,Unknown
AMMONIA,7664417,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
HYDROGEN FLUORIDE,7664393,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
"HYDROCHLORIC ACID (1995 AND AFTER ""ACID AEROSOLS"" ONLY)",7647010,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
2.2-DICHLORO-1.1.1-TRIFLUOROETHANE,306832,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
1-CHLORO-1.1-DIFLUOROETHANE,75683,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
1.1-DICHLORO-1-FLUOROETHANE,1717006,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
1.1.1-TRICHLOROETHANE,71556,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
TOLUENE,108883,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
NITRATE COMPOUNDS,N511,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
METHYL TERT-BUTYL ETHER,1634044,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
METHANOL,67561,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
ACETONITRILE,75058,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
AMMONIA,7664417,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
ZINC COMPOUNDS,N982,NO,NON-PBT,YES,1,NO,R,Pounds,Unknown
SODIUM NITRITE,7632000,NO,NON-PBT,YES,2,NO,A,Pounds,Unknown
"HYDROCHLORIC ACID (1995 AND AFTER ""ACID AEROSOLS"" ONLY)",7647010,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
DIPHENYLAMINE,122394,NO,NON-PBT,NO,0,NO,A,Pounds,Unknown
CERTAIN GLYCOL ETHERS,N230,YES,NON-PBT,NO,0,NO,A,Pounds,Unknown
BARIUM COMPOUNDS,N040,NO,NON-PBT,YES,3,NO,R,Pounds,Unknown
ANTIMONY COMPOUNDS,N010,YES,NON-PBT,YES,1,NO,A,Pounds,Unknown
POLYCYCLIC AROMATIC COMPOUNDS,N590,YES,PBT,NO,0,YES,R,Pounds,Unknown
LEAD COMPOUNDS,N420,YES,PBT,YES,1,NO,R,Pounds,Unknown
ZINC COMPOUNDS,N982,NO,NON-PBT,YES,1,NO,R,Pounds,Unknown
ZINC COMPOUNDS,N982,NO,NON-PBT,YES,1,NO,R,Pounds,Unknown
NAPHTHALENE,91203,YES,NON-PBT,NO,0,NO,A,Pounds,Unknown
LEAD COMPOUNDS,N420,YES,PBT,YES,1,NO,R,Pounds,Unknown
BARIUM COMPOUNDS,N040,NO,NON-PBT,YES,3,NO,R,Pounds,Unknown
N-HEXANE,110543,YES,NON-PBT,NO,0,NO,A,Pounds,Unknown
MERCURY COMPOUNDS,N458,YES,PBT,YES,1,NO,R,Pounds,Unknown
HYDROGEN FLUORIDE,7664393,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
"HYDROCHLORIC ACID (1995 AND AFTER ""ACID AEROSOLS"" ONLY)",7647010,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
DIOXIN AND DIOXIN-LIKE COMPOUNDS,N150,YES,DIOXIN,NO,0,NO,R,Grams,Unknown
AMMONIA,7664417,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
1.2.4-TRIMETHYLBENZENE,95636,NO,NON-PBT,NO,0,NO,A,Pounds,Unknown
COPPER,7440508,NO,NON-PBT,YES,1,NO,A,Pounds,Unknown
ETHYL ACRYLATE,140885,YES,NON-PBT,NO,0,YES,A,Pounds,Unknown
CHLORINE,7782505,YES,NON-PBT,NO,0,NO,A,Pounds,Unknown
VINYL CHLORIDE,75014,YES,NON-PBT,NO,0,YES,R,Pounds,Unknown
METHYL ACRYLATE,96333,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
ACRYLIC ACID,79107,YES,NON-PBT,NO,0,NO,A,Pounds,Unknown
TOLUENE,108883,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
N-HEXANE,110543,YES,NON-PBT,NO,0,NO,A,Pounds,Unknown
ZINC COMPOUNDS,N982,NO,NON-PBT,YES,1,NO,R,Pounds,Unknown
LEAD COMPOUNDS,N420,YES,PBT,YES,1,NO,R,Pounds,Unknown
XYLENE (MIXED ISOMERS),1330207,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
TOLUENE,108883,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
PHENOL,108952,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
N-BUTYL ALCOHOL,71363,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
CERTAIN GLYCOL ETHERS,N230,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
AMMONIA,7664417,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
BENZO(G.H.I)PERYLENE,191242,YES,PBT,NO,0,YES,R,Pounds,Unknown
NITRATE COMPOUNDS,N511,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
POLYCYCLIC AROMATIC COMPOUNDS,N590,YES,PBT,NO,0,YES,R,Pounds,Unknown
VINYL ACETATE,108054,YES,NON-PBT,NO,0,YES,R,Pounds,Unknown
VINYL CHLORIDE,75014,YES,NON-PBT,NO,0,YES,R,Pounds,Unknown
BUTYL ACRYLATE,141322,NO,NON-PBT,NO,0,NO,A,Pounds,Unknown
NAPHTHALENE,91203,YES,NON-PBT,NO,0,NO,A,Pounds,Unknown
ETHYLBENZENE,100414,YES,NON-PBT,NO,0,NO,A,Pounds,Unknown
AMMONIA,7664417,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
SODIUM NITRITE,7632000,NO,NON-PBT,YES,2,NO,A,Pounds,Unknown
ZINC COMPOUNDS,N982,NO,NON-PBT,YES,1,NO,R,Pounds,Unknown
POLYCYCLIC AROMATIC COMPOUNDS,N590,YES,PBT,NO,0,YES,R,Pounds,Unknown
COPPER,7440508,NO,NON-PBT,YES,1,NO,R,Pounds,Unknown
BENZO(G.H.I)PERYLENE,191242,YES,PBT,NO,0,YES,R,Pounds,Unknown
1.2.4-TRIMETHYLBENZENE,95636,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
COBALT,7440484,YES,NON-PBT,YES,1,YES,R,Pounds,Unknown
CHROMIUM,7440473,YES,NON-PBT,YES,1,YES,R,Pounds,Unknown
POLYCYCLIC AROMATIC COMPOUNDS,N590,YES,PBT,NO,0,YES,R,Pounds,Unknown
MERCURY,7439976,YES,PBT,YES,1,NO,R,Pounds,Unknown
LEAD COMPOUNDS,N420,YES,PBT,YES,1,NO,R,Pounds,Unknown
CHLORINE DIOXIDE,10049044,NO,NON-PBT,NO,0,NO,A,Pounds,Unknown
AMMONIA,7664417,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
ZINC COMPOUNDS,N982,NO,NON-PBT,YES,1,NO,R,Pounds,Unknown
DECABROMODIPHENYL OXIDE,1163195,NO,NON-PBT,NO,0,NO,R,Pounds,Unknown
ANTIMONY COMPOUNDS,N010,YES,NON-PBT,YES,1,NO,R,Pounds,Unknown
XYLENE (MIXED ISOMERS),1330207,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
TOLUENE DIISOCYANATE (MIXED ISOMERS),26471625,NO,NON-PBT,NO,0,YES,R,Pounds,Unknown
NAPHTHALENE,91203,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
MANGANESE COMPOUNDS,N450,YES,NON-PBT,YES,1,NO,A,Pounds,Unknown
LITHIUM CARBONATE,554132,NO,NON-PBT,YES,2,NO,A,Pounds,Unknown
ETHYLBENZENE,100414,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
DIISOCYANATES,N120,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
ZINC COMPOUNDS,N982,NO,NON-PBT,YES,1,NO,R,Pounds,Unknown
MANGANESE COMPOUNDS,N450,YES,NON-PBT,YES,1,NO,R,Pounds,Unknown
LEAD COMPOUNDS,N420,YES,PBT,YES,1,NO,R,Pounds,Unknown
COBALT COMPOUNDS,N096,YES,NON-PBT,YES,1,YES,R,Pounds,Unknown
CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION),N090,YES,NON-PBT,YES,1,NO,R,Pounds,Unknown
ETHYLENE GLYCOL,107211,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
STYRENE,100425,YES,NON-PBT,NO,0,YES,R,Pounds,Unknown
XYLENE (MIXED ISOMERS),1330207,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
NAPHTHALENE,91203,YES,NON-PBT,NO,0,NO,R,Pounds,Unknown
